"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"45441","435459","George Kottaras",31,"TOR",15,343,1337,"-1.0","-0.9",600,"-0.005",".015","-0.5","1.3",427,"0.004",".005","-0.4","0",198,"0","0.016",5,"-0.003","0.242","0","0.1"
"1105","400121","Victor Martinez",35,"DET",2,72,332,"-1.0","-1.0",147,"-0.020",".042","-0.4","0.9",88,"0.026",".010","-0.6","0",35,"0.001","0.043",2,"-0.002","0.415","0","0"
"31446","425542","Koyie Hill",35,"PHI",10,271,1066,"-1.1","-1.1",482,"-0.016",".018","-1.1","1.2",351,"0.001",".005","-0.1","0",155,"0","0.016",6,"0.012","0.238","0","0.1"
"44700","434630","Eli Whiteside",34,"CHC",8,268,1041,"-1.1","-1.2",523,"-0.016",".020","-1.2","1.4",303,"0",".005","0","0",136,"0.001","0.018",5,"-0.006","0.260","0","0.1"
"70378","592200","Curt Casali",25,"TB",29,843,3404,"-1.7","-1.2",1505,"0",".012","0","2.5",994,"0.005",".003","-1.4","0",345,"0","0.010",11,"0.007","0.171","0.2","0.1"
"65906","519237","Cameron Rupp",25,"PHI",18,666,2409,"-1.8","-1.7",1030,"-0.013",".015","-1.8","2.2",692,"-0.001",".004","0.2","0",282,"0","0.014",12,"-0.012","0.177","0","0.1"
"55701","518542","Juan Centeno",24,"NYM",9,307,1230,"-1.6","-1.7",562,"-0.010",".019","-0.8","1.5",383,"0.008",".005","-0.9","0",141,"0.001","0.019",5,"-0.007","0.259","0","0.1"
"1549","400018","Miguel Olivo",35,"LAD",8,250,962,"-1.9","-2.1",472,"-0.021",".019","-1.4","1.3",308,"0.008",".005","-0.7","0",117,"0.001","0.018",3,"-0.022","0.332","0","0.1"
"60649","572033","Josh Phegley",26,"CWS",11,402,1569,"-2.2","-2.2",630,"-0.026",".020","-2.3","1.8",488,"-0.001",".005","0.1","0",177,"0.001","0.016",6,"-0.006","0.236","0","0.1"
"31321","407833","John Buck",33,"LAA",24,728,2917,"-2.7","-2.6",1238,"-0.013",".011","-2.2","2.0",775,"0.002",".004","-0.4","0",335,"-0.001","0.012",8,"0.020","0.204","0","0"
"50900","501647","Wilin Rosario",25,"COL",96,3596,13822,"-3.1","-3.2",6149,"0.001",".007","0.9","5.9",3961,"0.004",".002","-4.4","0",1760,"-0.002","0.005",29,"0.023","0.108","0.4","0.1"
"70779","572180","Andrew Susac",24,"SF",29,798,3011,"-3.3","-3.2",1304,"-0.013",".012","-2.4","2.2",841,"0.003",".004","-0.8","0",361,"0","0.013",18,"-0.002","0.142","0","0.1"
"50255","502374","Michael McKenry",29,"COL",50,1766,6434,"-4.4","-3.5",2826,"-0.011",".009","-4.4","3.6",1907,"-0.002",".003","0.9","0",788,"0.001","0.007",31,"0.013","0.105","0","0.2"
"42127","434563","Carlos Ruiz",35,"PHI",109,4067,15509,"0.1","-3.9",7108,"-0.007",".007","-7.4","7.1",4735,"-0.003",".002","3.9","0",1944,"0.001","0.006",71,"0.009","0.076","-0.4","0.4"
"46150","455104","Chris Iannetta",31,"LAA",104,3525,13878,"-5.6","-4.2",6581,"-0.004",".006","-3.9","5.5",4148,"0.001",".002","-0.9","0",1721,"-0.001","0.006",50,"-0.008","0.093","0.6","0"
"57335","521692","Salvador Perez",24,"KC",146,5217,20335,"-6.8","-4.2",9115,"-0.005",".006","-6.4","7.4",6114,"-0.001",".001","1.3","0",2662,"-0.001","0.004",56,"-0.011","0.088","0.9","0"
"57053","457574","Jordan Pacheco",28,"COL",19,711,2755,"-4.2","-4.3",1297,"-0.019",".013","-3.4","2.3",839,"0.004",".004","-0.8","0",395,"-0.001","0.010",9,"0.011","0.189","0","0.1"
"48929","467793","Carlos Santana",28,"CLE",11,410,1592,"-3.8","-4.3",638,"-0.043",".018","-3.8","1.6",553,"0.003",".004","-0.5","0",251,"0","0.013",8,"-0.013","0.217","0","0"
"56298","518700","Eric Fryer",28,"MIN",24,838,3151,"-4.7","-4.4",1338,"-0.024",".011","-4.6","2.1",981,"0",".003","-0.1","0",430,"0","0.009",11,"0.021","0.166","0.2","0.1"
