"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"47690","460026","Nick Hundley",28,"SD",56,2114,8169,"-8.0","-9.8",3841,"-0.023",".009","-12.3","4.6",2425,"-0.003",".002","2.2","0",1019,"0.002","0.009",56,"-0.028","0.088","0.3","0.3"
"47564","454560","A.J. Ellis",31,"LAD",131,4797,18456,"-10.3","-10.3",8335,"-0.009",".007","-10.5","8.1",5278,"0",".002","0.3","0",2236,"0","0.005",79,"-0.035","0.076","-0.1","0.4"
"52534","452105","John Hester",28,"LAA",38,1088,4261,"-10.9","-10.7",1968,"-0.040",".010","-11.0","2.7",1282,"-0.001",".003","0.3","0",585,"0.001","0.010",28,"0.044","0.102","0.1","0.2"
"31606","435063","Mike Napoli",30,"TEX",72,2648,10211,"-9.8","-11.0",4636,"-0.018",".009","-11.4","5.6",2940,"-0.001",".002","0.4","0",1348,"0","0.006",39,"0.009","0.093","0","0.3"
"46150","455104","Chris Iannetta",29,"LAA",78,2573,9860,"-11.5","-11.0",4596,"-0.016",".009","-10.2","5.5",2679,"0.001",".002","-0.8","0",1109,"-0.001","0.007",39,"-0.024","0.102","0","0"
"57335","521692","Salvador Perez",22,"KC",74,2808,10565,"-13.1","-11.5",4795,"-0.014",".009","-9.3","5.9",3089,"0.003",".002","-2.2","0",1282,"-0.003","0.007",34,"-0.073","0.112","0","0"
"280","150148","Rod Barajas",36,"PIT",99,3481,12956,"-12.1","-11.7",5700,"-0.015",".007","-12.4","5.5",3590,"0",".002","0.3","0",1464,"0.005","0.008",80,"0.062","0.065","0.4","0.4"
"49076","435559","Kurt Suzuki",28,"WSH",117,4267,16284,"-15.0","-14.4",7581,"-0.013",".005","-13.6","5.7",4662,"0",".002","-0.6","0",2053,"0","0.005",70,"-0.046","0.079","-0.3","0.3"
"1549","400018","Miguel Olivo",33,"SEA",73,2605,9716,"-12.5","-14.4",4286,"-0.019",".008","-11.2","4.7",2569,"0.004",".002","-3.2","0",1153,"0.002","0.008",50,"-0.045","0.091","0","0.3"
"31547","425491","Ryan Doumit",31,"MIN",59,2173,7851,"-21.7","-22.0",3540,"-0.041",".009","-20.2","4.6",2204,"0.003",".003","-1.9","0",963,"0","0.007",28,"0.011","0.109","0","0.2"
"50900","501647","Wilin Rosario",23,"COL",105,3912,15009,"-23.2","-23.8",6822,"-0.013",".007","-12.9","6.8",4588,"0.009",".003","-11.0","0",2003,"0","0.005",70,"-0.057","0.080","0","0"
"48929","467793","Carlos Santana",26,"CLE",100,3719,14314,"-25.7","-25.0",6822,"-0.024",".007","-23.0","6.5",4262,"0.002",".002","-2.2","0",1895,"-0.001","0.006",64,"-0.007","0.077","0.2","0"
